Hot_end_temperature,Machine_state,Date,Current_layer,Total_Layers,Printed_Object,User,Time_left,Plastic_material,timetime,timeperf_counter,Part
274,Printing,2021-05-10 11:01:56,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.14576435089111328,0.14618160000009084,3
274,Printing,2021-05-10 11:01:57,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15484118461608887,0.15486939999937022,3
274,Printing,2021-05-10 11:01:58,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1812129020690918,0.18108389999997598,3
274,Printing,2021-05-10 11:02:00,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15485453605651855,0.15431960000023537,3
274,Printing,2021-05-10 11:02:01,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.17253613471984863,0.17169680000006338,3
274,Printing,2021-05-10 11:02:02,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.1409912109375,0.1406472999997277,3
274,Printing,2021-05-10 11:02:03,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14001250267028809,0.1401495000000068,3
274,Printing,2021-05-10 11:02:04,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.1431443691253662,0.14271609999923385,3
274,Printing,2021-05-10 11:02:05,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12107372283935547,0.12142640000001848,3
274,Printing,2021-05-10 11:02:07,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14222121238708496,0.14217699999971956,3
274,Printing,2021-05-10 11:02:08,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12504148483276367,0.12528170000041428,3
274,Printing,2021-05-10 11:02:09,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14252471923828125,0.14263690000007045,3
274,Printing,2021-05-10 11:02:10,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13031888008117676,0.12993199999982608,3
274,Printing,2021-05-10 11:02:11,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.19080328941345215,0.19122320000042237,3
274,Printing,2021-05-10 11:02:13,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.16439151763916016,0.16372060000048805,3
274,Printing,2021-05-10 11:02:14,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.17110633850097656,0.17065550000006624,3
274,Printing,2021-05-10 11:02:15,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.137437105178833,0.13797230000000127,3
